FHRSID,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,geocode.longitude,geocode.latitude,FinalClass,ClassificationSource
519305,Wenzels,wenzels,Retailers - other,"75 Ryefield Parade, Joel Street, Northwood",HA6 1LW,Hillingdon,-0.409486,51.599897,CORE_BAKERY,VERIFIED_CANDIDATE
1807504,Northwood Hills Supermarket,northwood hills supermarket,Retailers - other,"44-46 The Broadway, Joel Street, Northwood",HA6 1PA,Hillingdon,-0.409785,51.6015132,GROCER_BAKERY,VERIFIED_CANDIDATE
1646936,Marjan,marjan,Restaurant/Cafe/Canteen,"6 Clive Parade, Maxwell Road, Northwood",HA6 2QF,Hillingdon,-0.425385,51.611531,BAKERY_CAFE,LOCATION_VERIFICATION
1528368,Cofix,cofix,Restaurant/Cafe/Canteen,"76 Green Lane, Northwood",HA6 2XS,Hillingdon,-0.4224029,51.6111613,BAKERY_CAFE,VERIFIED_CANDIDATE
537473,Waitrose Ltd,waitrose ltd,Retailers - supermarkets/hypermarkets,"52 Green Lane, Northwood",HA6 2XW,Hillingdon,-0.423329,51.611252,GROCER_BAKERY,LOCATION_VERIFICATION
579128,Wenzels,wenzels,Retailers - other,"23 Maxwell Road, Northwood",HA6 2XY,Hillingdon,-0.424932,51.611255,CORE_BAKERY,LOCATION_VERIFICATION
1813293,Bubbles n brownies,bubbles n brownies,Restaurant/Cafe/Canteen,"53 Green Lane, Northwood",HA6 3AE,Hillingdon,-0.4247851,51.6118866,BAKERY_CAFE,VERIFIED_CANDIDATE
1226256,Fruity Fresh (Western) Ltd,fruity fresh western ltd,Other catering premises,"37 Green Lane, Northwood",HA6 3AE,Hillingdon,-0.4253886,51.6119259,BAKERY_CAFE,VERIFIED_CANDIDATE
1669722,Olimera,olimera,Restaurant/Cafe/Canteen,"1 Eastbury Road, Northwood",HA6 3BG,Hillingdon,-0.423907995223999,51.611644744873,BAKERY_CAFE,VERIFIED_CANDIDATE
1591282,Laduree UK Ltd,laduree uk ltd,Retailers - other,"Airside Terminal 3, London Heathrow Airport, Hounslow",TW6 1QB,Hillingdon,-0.4592907,51.4704309,CORE_BAKERY,LOCATION_VERIFICATION
1149092,Fortnum & Masons Shop (Airside),fortnum and masons shop airside,Retailers - other,"Departures A Gate Level Terminal 5, Wellington Road, London Heathrow Airport",TW6 1QG,Hillingdon,-0.458294987678528,51.4708442687988,GROCER_BAKERY,VERIFIED_CANDIDATE
520370,Pret A Manger (Landside - store 0182),pret a manger landside store 0182,Takeaway/sandwich shop,"Commercial Unit D10 Terminal 3 Departures Level, Canberra Road, London Heathrow Airport",TW6 1QG,Hillingdon,-0.458483,51.470371,BAKERY_CAFE,VERIFIED_CANDIDATE
1570301,Pret a Manger,pret a manger,Restaurant/Cafe/Canteen,"Airside Pier 5 Terminal 3, canberra road, London Heathrow Airport",TW6 1QG,Hillingdon,,,BAKERY_CAFE,LOCATION_VERIFICATION
1035434,WHSmith - Arrivals,whsmith arrivals,Retailers - other,"Commercial Unit A11 Terminal 3 Arrivals Level, Camberley Road, London Heathrow Airport",TW6 1QG,Hillingdon,-0.4580802,51.4715443,GROCER_BAKERY,VERIFIED_CANDIDATE
